"Address","Type","Category","Occurrences","Priority","Suggested_Label","Example_Contexts"
"$1910","WRAM","WRAM (Low)","2","Low","wram_1910","graphics_engine_historical.asm:sta $1910; graphics_engine.asm:sta $1910"
"$190A","WRAM","WRAM (Low)","2","Low","wram_190a","graphics_engine_historical.asm:stx $190a; graphics_engine.asm:stx $190a"
"$2102","PPU","PPU Registers","2","Low","OAMADDL","graphics_engine_historical.asm:stx $2102; graphics_engine.asm:stx $2102"
"$1906","WRAM","WRAM (Low)","2","Low","wram_1906","graphics_engine_historical.asm:stx $1906; graphics_engine.asm:stx $1906"
"$1904","WRAM","WRAM (Low)","2","Low","wram_1904","graphics_engine_historical.asm:stx $1904; graphics_engine.asm:stx $1904"
"$0F28","WRAM","WRAM (Low)","2","Low","wram_0f28","graphics_engine_historical.asm:and $0f28; graphics_engine.asm:and $0f28"
"$0E8B","WRAM","WRAM (Low)","2","Low","wram_0e8b","graphics_engine_historical.asm:sta $0e8b; graphics_engine.asm:sta $0e8b"
"$1915","WRAM","WRAM (Low)","2","Low","wram_1915","graphics_engine_historical.asm:lda $1915; graphics_engine.asm:lda $1915"
"$0E8A","WRAM","WRAM (Low)","2","Low","wram_0e8a","graphics_engine_historical.asm:lda $0e8a; graphics_engine.asm:lda $0e8a"
"$0B87","WRAM","WRAM (Low)","2","Low","wram_0b87","graphics_engine_historical.asm:jsl $0b87b9; graphics_engine.asm:jsl $0b87b9"
"$0B85","WRAM","WRAM (Low)","2","Low","wram_0b85","graphics_engine_historical.asm:jsl $0b8560; graphics_engine.asm:jsl $0b8560"
"$015F","WRAM","Stack","2","Low","wram_015f","bank_00_documented.asm:LDA $015F; bank_00_documented.asm:STA $015F"
"$0110","WRAM","Stack","2","Low","wram_0110","graphics_engine_historical.asm:lda $0110; graphics_engine.asm:lda $0110"
"$00F2","WRAM","Zero Page (Direct Page)","2","Low","var_00f2","graphics_engine_historical.asm:stx $00f2; graphics_engine.asm:stx $00f2"
"$00CC","WRAM","Zero Page (Direct Page)","2","Low","var_00cc","bank_00_documented.asm:LDY $00CC; bank_00_documented.asm:STY $00CC"
"$009A","WRAM","Zero Page (Direct Page)","2","Low","var_009a","graphics_engine_historical.asm:jsl $009aec; graphics_engine.asm:jsl $009aec"
"$0097","WRAM","Zero Page (Direct Page)","2","Low","var_0097","graphics_engine_historical.asm:jsl $009776; graphics_engine.asm:jsl $009776"
"$0015","WRAM","Zero Page (Direct Page)","2","Low","var_0015","graphics_engine_historical.asm:stx $0015; graphics_engine.asm:stx $0015"
"$0E88","WRAM","WRAM (Low)","2","Low","wram_0e88","graphics_engine_historical.asm:lda $0e88; graphics_engine.asm:lda $0e88"
"$1918","WRAM","WRAM (Low)","2","Low","wram_1918","graphics_engine_historical.asm:sta $1918; graphics_engine.asm:sta $1918"
"$1908","WRAM","WRAM (Low)","2","Low","wram_1908","graphics_engine_historical.asm:stx $1908; graphics_engine.asm:stx $1908"
"$19B7","WRAM","WRAM (Low)","2","Low","wram_19b7","graphics_engine_historical.asm:stx $19b7; graphics_engine.asm:stx $19b7"
"$1CC2","WRAM","WRAM (Low)","2","Low","wram_1cc2","graphics_engine_historical.asm:lda $1cc2; graphics_engine.asm:lda $1cc2"
"$1A57","WRAM","WRAM (Low)","2","Low","wram_1a57","graphics_engine_historical.asm:adc $1a57; graphics_engine.asm:adc $1a57"
"$1A56","WRAM","WRAM (Low)","2","Low","wram_1a56","graphics_engine_historical.asm:adc $1a56; graphics_engine.asm:adc $1a56"
"$1A53","WRAM","WRAM (Low)","2","Low","wram_1a53","graphics_engine_historical.asm:lda $1a53; graphics_engine.asm:lda $1a53"
"$1A52","WRAM","WRAM (Low)","2","Low","wram_1a52","graphics_engine_historical.asm:lda $1a52; graphics_engine.asm:lda $1a52"
"$1A4E","WRAM","WRAM (Low)","2","Low","wram_1a4e","graphics_engine_historical.asm:sta $1a4e; graphics_engine.asm:sta $1a4e"
"$1A4A","WRAM","WRAM (Low)","2","Low","wram_1a4a","graphics_engine_historical.asm:ldy $1a4a; graphics_engine.asm:ldy $1a4a"
"$19B5","WRAM","WRAM (Low)","2","Low","wram_19b5","graphics_engine_historical.asm:stx $19b5; graphics_engine.asm:stx $19b5"
"$1A3E","WRAM","WRAM (Low)","2","Low","wram_1a3e","graphics_engine_historical.asm:sta $1a3e; graphics_engine.asm:sta $1a3e"
"$1A37","WRAM","WRAM (Low)","2","Low","wram_1a37","graphics_engine_historical.asm:sta $1a37; graphics_engine.asm:sta $1a37"
"$1A32","WRAM","WRAM (Low)","2","Low","wram_1a32","graphics_engine_historical.asm:sta $1a32; graphics_engine.asm:sta $1a32"
"$1A2E","WRAM","WRAM (Low)","2","Low","wram_1a2e","graphics_engine_historical.asm:lda $1a2e; graphics_engine.asm:lda $1a2e"
"$FE6B","ROM","ROM (Bank dependent)","2","Low","rom_fe6b","graphics_engine_historical.asm:jsr $fe6b; graphics_engine.asm:jsr $fe6b"
"$19F1","WRAM","WRAM (Low)","2","Low","wram_19f1","graphics_engine_historical.asm:ldx $19f1; graphics_engine.asm:ldx $19f1"
"$19B9","WRAM","WRAM (Low)","2","Low","wram_19b9","graphics_engine_historical.asm:stx $19b9; graphics_engine.asm:stx $19b9"
"$1A14","WRAM","WRAM (Low)","2","Low","wram_1a14","graphics_engine_historical.asm:sta $1a14; graphics_engine.asm:sta $1a14"
